PROTOCOL,NUM_EXPERTS,NUM_ROUNDS,PROP,GAS_EXPERT,GAS_MANAGER,HARD_ACC,HARD_REPT,SOFT_ACC,SOFT_REPT
SLUSH,11,14,40,88.091,1615312.2,92.134,92.225,92.695,92.796
SLUSH,9,5,60,89.044,1226100.2,88.401,91.625,91.649,92.18
SLUSH,11,5,40,87.909,1486028.2,92.261,92.394,92.657,92.754
SLUSH,5,8,40,90.04,783809.8,91.487,92.604,92.424,92.699
SLUSH,11,5,80,87.782,1462860.6,14.219,88.229,85.146,89.602
SLUSH,7,5,40,89.429,1009522.9,91.759,92.362,92.522,92.235
SLUSH,15,11,0,86.98,2120770.6,92.14,92.156,92.874,92.838
SLUSH,5,14,60,90.18,774315,72.94,91.547,91.324,92.528
SLUSH,15,8,80,87.213,1948544.2,21.158,89.381,80.276,89.411
SLUSH,5,8,60,90.08,756076.4,74.155,91.625,91.521,92.521
SLUSH,9,11,20,89.222,1332327.6,93.176,93.1,93.402,93.479
SLUSH,9,8,20,89.178,1290949.3,93.036,93.004,93.67,93.695
SLUSH,15,11,20,86.86,2094533.4,92.005,91.978,92.632,92.591
SLUSH,15,15,40,86.727,2151064.9,91.204,91.455,91.71,91.999
SLUSH,15,15,80,86.08,2007030.7,24.701,89.831,81.846,88.987
SLUSH,15,15,60,87.207,2025122.9,89.428,91.313,90.493,91.647
