PROTOCOL,NUM_EXPERTS,NUM_ROUNDS,PROP,GAS_EXPERT,GAS_MANAGER,HARD_ACC,HARD_REPT,SOFT_ACC,SOFT_REPT
SNOWBALL,9,5,20,89.178,1249767.2,93.279,93.212,93.486,93.464
SNOWFLAKE,11,5,0,88.155,1496892.7,92.733,92.713,93.291,93.346
SNOWBALL,15,14,20,86.587,2089153.5,91.904,91.994,92.595,92.649
SNOWBALL,11,8,60,87.727,1469027.2,82.558,91.078,89.969,91.36
SNOWFLAKE,7,8,80,89.2,986928.2,1.689,88.639,78.3,88.434
SNOWFLAKE,15,14,0,86.84,2094433.9,91.956,91.986,92.771,92.681
SNOWFLAKE,7,5,40,89.371,1004013.4,91.762,92.246,92.784,93.169
SNOWBALL,11,8,0,87.627,1532929.3,92.745,92.714,93.291,93.26
SNOWBALL,7,14,60,88.914,1022552.6,85.674,92.154,91.564,92.319
SNOWBALL,11,5,60,88.018,1446172.8,83.756,90.873,89.885,91.305
SNOWFLAKE,9,5,40,88.633,1234144,92.004,92.59,92.51,92.564
SNOWBALL,7,8,60,89.129,997281.6,86.924,91.661,91.524,91.484
SNOWBALL,9,14,40,89.022,1282082.4,92.227,92.76,92.881,93.11
SNOWBALL,13,5,40,87.538,1716597.2,91.822,91.896,92.417,92.66
SNOWBALL,5,14,0,90.1,846917.9,94.081,93.981,94.8,94.674
SNOWBALL,15,11,80,87.087,1957594,25.867,89.471,82.067,89.039
SNOWBALL,5,8,0,90.16,794120.6,94.006,93.905,94.816,94.666
SNOWBALL,5,11,80,90.38,771077.3,9.479,90.554,80.92,90.447
SNOWBALL,15,8,0,86.967,2045274.9,92.066,92.09,92.8,92.714
SNOWFLAKE,11,14,20,87.836,1612074.7,92.614,92.729,93.294,93.308
SNOWFLAKE,9,14,40,89.122,1301232.8,91.494,92.425,92.179,92.63
SNOWBALL,9,14,0,88.7,1356784.3,93.402,93.365,93.996,93.98
SNOWBALL,5,5,40,90.04,768252.8,92.469,93.066,93.629,93.856
SNOWBALL,15,14,60,87.393,1996804.2,88.579,91.183,90.106,91.472
SNOWFLAKE,13,11,20,87.423,1793221.6,92.414,92.48,92.876,92.786
SNOWFLAKE,11,11,60,88.091,1506319.8,84.576,91.393,89.79,91.345
SNOWFLAKE,15,11,20,87.167,2069902.1,92.013,92.004,92.615,92.612
SNOWBALL,11,8,20,87.855,1516168.8,92.516,92.516,93.004,92.884
SNOWFLAKE,11,11,40,88.118,1546708,92.051,92.242,92.381,92.657
SNOWFLAKE,11,8,0,88.027,1519790.7,92.688,92.698,93.186,93.158
SNOWBALL,13,5,20,87.815,1735955.3,92.329,92.42,92.926,93.106
SNOWFLAKE,13,5,20,87.262,1721485.7,92.376,92.428,92.921,92.898
SNOWFLAKE,5,11,20,90.1,803262.1,93.802,93.588,94.171,94.074
SNOWFLAKE,5,11,40,89.9,778083.1,92.28,93.234,92.705,92.679
SNOWBALL,15,5,0,87.18,1982954.4,92.043,92.073,92.815,92.785
SNOWFLAKE,7,14,80,89.3,1019575.6,2.657,89.016,84.593,88.991
SNOWBALL,13,11,60,87.438,1732754.2,87.779,91.497,90.719,91.778
SNOWFLAKE,7,14,60,89,1029656,84.769,91.76,91.126,92.102
SNOWBALL,9,5,40,89.122,1250440.4,92.264,92.855,92.493,93.006
SNOWBALL,7,14,40,89.3,1040584.6,90.981,92.33,92.465,92.77
SNOWFLAKE,13,14,80,87.462,1748853.2,42.434,90.305,85.606,89.811
SNOWFLAKE,9,14,20,88.922,1318860,93.238,93.344,93.749,93.76
SNOWFLAKE,11,5,20,87.773,1497811,92.434,92.38,92.996,92.946
SNOWBALL,15,5,60,86.92,1915079.8,89.269,91.137,90.356,91.504
SNOWBALL,13,5,80,88.254,1673281.6,40.304,90.281,86.393,90.078
SNOWFLAKE,7,5,0,88.929,1015246,93.62,93.526,94.076,93.965
SNOWFLAKE,15,11,60,86.193,1972877.6,88.07,90.483,89.389,91.07
SNOWBALL,7,11,20,89.386,1074091.7,93.321,93.2,93.681,93.704
SNOWBALL,13,11,80,87.885,1715839.4,40.865,90.264,85.81,90.838
SNOWFLAKE,11,5,60,87.436,1471315,82.735,90.896,89.864,91.207
SNOWFLAKE,13,8,40,87.454,1771464.6,92.1,92.157,92.513,92.641
SNOWFLAKE,15,14,60,86.467,2004216.2,89.171,91.394,90.291,91.179
SNOWFLAKE,9,5,20,89.022,1245602,93.227,93.183,93.764,93.759
SNOWFLAKE,7,5,80,89.329,980505,3.711,90.093,80.979,89.866
SNOWBALL,9,8,0,88.622,1296722.9,93.301,93.264,93.826,93.79
SNOWFLAKE,7,8,60,88.957,1007435.3,84.696,91.736,90.957,91.541
SNOWBALL,11,8,80,87.927,1460193.4,10.707,87.765,83.863,89.44
SNOWBALL,15,5,80,87.187,1903070.2,22.946,89.035,79.491,89.305
SNOWBALL,9,14,60,88.8,1268721.2,89.705,92.158,91.879,92.712
SNOWFLAKE,15,5,60,86.987,1932194.8,88.52,90.964,90.051,91.093
SNOWFLAKE,7,11,80,89.014,1005538.6,3.927,90.76,79.139,90.767
SNOWBALL,7,8,40,88.943,1016250.7,91.909,92.669,92.776,93.132
SNOWFLAKE,5,11,0,90.1,817049.6,94.118,93.939,94.713,94.805
SNOWFLAKE,9,8,60,89.033,1256392,88.754,91.966,91.651,92.797
SNOWBALL,7,14,80,88.643,1013146.4,3.736,89.837,79.12,89.776
SNOWBALL,5,14,20,89.92,829291.5,93.85,93.846,94.116,93.956
SNOWBALL,13,14,20,87.715,1802174.1,92.364,92.38,92.806,92.731
SNOWFLAKE,15,5,20,86.213,1982006.1,91.819,91.77,92.395,92.446
SNOWFLAKE,15,8,20,87.673,2002065,91.849,91.91,92.489,92.447
SNOWBALL,7,5,0,89.1,1020392.1,93.709,93.488,94.115,93.912
SNOWFLAKE,13,11,40,87.492,1780527.8,91.765,92.09,92.242,92.582
SNOWBALL,13,8,80,87.662,1698986.6,52.744,90.786,86.83,90.832
SNOWBALL,15,11,40,86.54,2014671,91.46,91.674,92.166,92.343
SNOWBALL,5,14,80,90.2,772447.8,5.861,91.759,83.331,91.605
SNOWFLAKE,9,11,20,88.922,1323658.2,93.109,93.154,93.491,93.564
SNOWFLAKE,7,8,0,89.286,1033067.9,93.709,93.616,94.119,94.074
SNOWFLAKE,13,14,60,87.538,1773677.4,87.814,91.532,90.696,91.993
SNOWFLAKE,9,5,80,88.9,1213433.2,26.535,89.249,85.411,90.595
SNOWBALL,5,5,0,90.2,780258.4,94.075,93.834,94.777,94.54
SNOWBALL,9,5,80,89,1207233.6,33.212,89.689,87.426,91.547
SNOWBALL,13,5,60,87.615,1683030.6,86.799,91.189,90.125,91.585
SNOWBALL,13,8,0,87.915,1784318.2,92.586,92.52,93.129,93.083
SNOWBALL,13,8,20,87.431,1764364,92.336,92.319,92.82,92.746
SNOWFLAKE,9,11,0,89.711,1329051.4,93.376,93.338,94.035,93.939
SNOWFLAKE,5,8,80,90.08,753463.8,11.558,91.311,83.28,91.188
SNOWFLAKE,7,11,20,89.014,1063764,93.154,93.141,93.46,93.541
SNOWBALL,11,11,60,88.145,1490605.8,84.791,91.184,89.688,90.994
SNOWBALL,13,8,60,87.569,1706528,88.907,91.93,90.936,91.625
SNOWBALL,15,5,40,86.993,1952962.7,91.46,91.57,91.869,92.242
SNOWBALL,5,14,60,90.16,776080.8,79.329,91.821,91.912,93.361
SNOWFLAKE,15,8,60,86.967,1946148.6,89.259,90.971,90.224,91.645
SNOWFLAKE,13,5,40,87.731,1722535.2,91.997,92.109,92.374,92.584
SNOWBALL,11,11,80,87.9,1478747.8,15.598,89.506,81.835,91.291
SNOWFLAKE,11,8,20,88.018,1531517.8,92.501,92.447,92.868,92.86
SNOWBALL,7,11,60,89.057,1008126.4,85.466,92.095,91.193,91.804
SNOWBALL,9,11,80,89.156,1257055.2,30.235,90.06,87.438,91.07
SNOWBALL,5,14,40,89.88,798420.6,92.522,93.329,93.356,93.798
SNOWFLAKE,9,8,0,88.8,1296330.7,93.38,93.257,94.006,93.916
SNOWBALL,7,8,20,89.371,1058156.6,93.554,93.4,93.805,93.676
SNOWFLAKE,11,5,80,88,1444600.4,4.204,86.691,77.477,88.731
SNOWFLAKE,13,11,0,87.423,1800324,92.594,92.611,93.205,93.172
SNOWFLAKE,9,11,40,89.089,1276685.8,91.915,92.64,92.536,92.959
SNOWBALL,15,8,60,86.973,1946705,88.636,90.695,89.886,91.408
SNOWFLAKE,13,8,20,87.608,1763588,92.406,92.299,92.887,92.879
SNOWFLAKE,13,5,0,88.215,1738326.4,92.573,92.522,93.137,93.094
SNOWFLAKE,9,8,40,88.922,1258901.1,92.334,92.804,93.044,93.258
SNOWBALL,7,11,0,88.929,1080092.6,93.636,93.606,94.092,94.053
SNOWFLAKE,13,8,60,87.6,1706922.2,87.377,91.35,90.708,91.935
SNOWBALL,7,11,40,89.057,1027954.5,91.37,92.595,92.544,92.712
SNOWBALL,7,8,0,89.286,1047842.6,93.735,93.633,94.157,94.079
SNOWFLAKE,11,14,80,87.436,1507498.2,10.355,88.386,81.36,89.396
SNOWFLAKE,15,8,80,86.54,1928874.4,29.675,89.481,79.464,90.484
SNOWBALL,9,5,60,89.2,1221545.2,89.49,92.023,91.716,92.744
SNOWFLAKE,7,14,20,89.2,1052577.5,93.431,93.401,93.881,93.831
SNOWBALL,9,14,20,89.178,1349821.8,92.986,93.036,93.554,93.571
SNOWBALL,11,5,80,88.336,1439461,19.741,88.83,82.018,90.716
SNOWFLAKE,13,14,0,87.8,1825059.5,92.534,92.536,93.039,93.033
SNOWBALL,7,14,0,89.271,1121223.4,93.651,93.51,94.128,94.075
SNOWFLAKE,15,14,80,86.953,1978452.8,37.067,90.305,81.945,90.278
SNOWBALL,9,5,0,88.911,1264107.6,93.355,93.34,93.921,93.931
SNOWFLAKE,15,5,0,86.933,1972937.7,92.106,92.01,92.836,92.729
SNOWFLAKE,7,5,60,89.143,999180.9,89.819,92.536,92.465,92.786
SNOWFLAKE,7,11,60,89.186,1021076.9,84.833,91.885,90.769,91.706
SNOWBALL,13,14,0,87.431,1886271.7,92.536,92.515,93.244,93.185
SNOWBALL,7,5,40,89.114,996312.9,91.782,92.562,92.519,92.545
SNOWBALL,11,14,80,87.727,1486770.6,14.434,89.316,82.324,89.921
SNOWBALL,5,8,60,90.16,756116.2,73.094,91.819,90.971,92.189
SNOWBALL,11,5,0,88.073,1501090,92.669,92.594,93.223,93.192
SNOWBALL,9,11,20,88.8,1297554.9,93.204,93.246,93.56,93.465
SNOWBALL,13,14,40,87.677,1825017.7,92.054,92.136,92.506,92.769
SNOWBALL,5,11,60,90.2,765535.2,74.545,91.196,90.876,91.928
SNOWFLAKE,5,14,0,90.3,809338.1,94.061,93.986,94.839,94.659
SNOWBALL,9,14,80,88.778,1251600.6,30.269,89.714,87.194,91.834
SNOWBALL,13,11,0,87.738,1810941.6,92.582,92.624,93.164,93.12
SNOWBALL,5,8,20,89.94,789931.4,93.896,93.624,94.29,93.749
SNOWFLAKE,15,11,40,86.987,2032884.9,91.146,91.395,91.928,92.31
SNOWBALL,11,8,40,87.964,1483218.1,91.808,92.03,92.467,92.383
SNOWFLAKE,13,5,60,86.823,1686260.1,86.826,90.924,89.894,91.045
SNOWBALL,15,11,20,86.86,2017880.4,91.952,92.1,92.653,92.675
SNOWFLAKE,5,14,60,89.78,789558,77.474,91.16,91.657,92.422
SNOWBALL,11,11,40,88.9,1545548.9,91.841,92.085,92.529,92.707
SNOWBALL,5,5,60,90.06,746653.4,71.895,90.182,91.037,93.011
SNOWFLAKE,5,14,40,90.16,824951.4,91.115,93.004,92.605,93.161
SNOWBALL,5,5,80,89.94,743177.2,17.776,92.206,86.322,92.163
SNOWBALL,9,8,20,89.356,1292432.3,93.181,93.101,93.716,93.793
SNOWBALL,7,5,20,89.1,1010948,93.444,93.295,93.839,93.577
SNOWFLAKE,13,14,40,87.615,1779826.5,91.809,92.027,92.296,92.541
SNOWBALL,7,5,80,89.143,973540.2,2.733,89.361,84.076,89.151
SNOWFLAKE,15,14,20,87.72,2056918.7,91.869,91.861,92.564,92.591
SNOWBALL,7,14,20,88.886,1080396.1,93.581,93.586,93.919,93.879
SNOWBALL,9,8,60,88.944,1233033.6,88.547,91.922,91.179,91.446
SNOWFLAKE,11,8,60,87.764,1479475.3,85.162,90.841,90.075,91.561
SNOWBALL,15,8,80,86.94,1931542.4,31.696,90.159,81.561,90.086
SNOWBALL,5,8,80,90.2,752104.2,13.561,90.83,81.529,90.831
SNOWBALL,15,14,40,87.093,2031795.9,91.296,91.565,91.977,92.371
SNOWFLAKE,15,14,40,86.98,2063751.7,91.486,91.728,91.924,92.169
SNOWFLAKE,5,5,80,90.12,748041.4,21.661,92.164,87.323,92.09
SNOWBALL,13,11,40,87.346,1774637.5,91.91,92.08,92.214,92.444
SNOWFLAKE,5,8,40,89.8,777799.6,92.619,93.384,93.145,93.33
SNOWBALL,9,8,80,89.178,1226162.8,13.17,87.647,86.175,88.655
SNOWFLAKE,5,8,20,90.48,791198.9,93.707,93.325,94.076,93.798
SNOWFLAKE,11,14,0,87.918,1584334.2,92.751,92.775,93.185,93.185
SNOWFLAKE,9,11,60,89.144,1270740.2,90.091,92.493,92.193,92.698
SNOWFLAKE,15,8,40,86.853,1972462.7,91.399,91.623,91.978,92.235
SNOWFLAKE,13,8,80,87.769,1699125.4,37.254,90.364,86.629,90.095
SNOWFLAKE,13,11,60,87.338,1733911.4,88.28,91.515,90.817,92.031
SNOWFLAKE,5,5,40,90.1,764064.9,91.791,92.478,93.066,93.401
SNOWFLAKE,9,8,80,88.856,1232521.4,40.014,89.925,87.873,92.476
SNOWFLAKE,7,5,20,89.4,1015799.9,93.461,93.185,93.88,93.901
SNOWFLAKE,5,8,0,90.08,786187.6,94.076,93.886,94.735,94.525
